experiment,n_rows,n_cities_total,n_cities_scored,pooled_auc,pooled_auc_no_mariupol,mean_folds_auc,std_folds_auc,gap_pooled_minus_folds
D1c_post_composite,62043,19,19,0.6232245145784708,0.6179032996742411,0.6525204932694489,0.14888048342422386,-0.02929597869097811
CLF_F7_XGBoost,480313,19,19,0.7551786404203917,0.7561686851999374,0.6524285243704422,0.15194027872009494,0.10275011604994955
NB08b_BDA_CARD_GBM,368288,21,21,0.6001921624963049,0.6519763789090351,0.6508804055842381,0.10876793250277622,-0.05068824308793318
NB08b_BDA_COH_DROP+RGB_RF-200,205942,12,12,0.6277056831794644,0.7107000392392457,0.6504274717383643,0.10062755339228667,-0.022721788558899947
CLF_A9_XGBoost,480313,19,19,0.6273553165793578,0.6874333651593869,0.6500161599107942,0.15943144812292362,-0.022660843331436364
R5_GBM_all_multimodal,62043,19,19,0.6321186060195628,0.6109559402556147,0.6485330140520936,0.07565016331534218,-0.016414408032530803
B5_sub_XGB,62043,19,19,0.602301184823558,0.597673062739392,0.6478104396520763,0.1176935431094978,-0.04550925482851831
C10_leaky_F8_fusion_composite_blockstats,62043,19,19,0.6280749571167483,0.6003021372819088,0.6468860152468882,0.08397801486858472,-0.018811058130139835
C_A1_scene_ms,62043,19,19,0.6347235926963525,0.63843591952172,0.6448259487912642,0.10806839740284631,-0.010102356094911724
C10_leaky_A1_scene_ms,62043,19,19,0.6347235926963525,0.63843591952172,0.6448259487912642,0.10806839740284631,-0.010102356094911724
P_F7_fusion_composite_cohdrop_ExtraTrees_Optuna,51293,11,11,0.6806061982957528,0.6353573974079607,0.6442704384294539,0.08582076486153695,0.03633575986629889
R3_ms_only_A9,62043,19,19,0.6503927104068189,0.6431309148036438,0.6441976922956357,0.09525892150369998,0.00619501811118317
D1i_allblocks_random,63243,21,21,0.6320555579411695,0.604569385818631,0.6430428280650785,0.1279647062654283,-0.010987270123908988
NB08b_BDA_CARD_RF-200,368288,21,21,0.5473474124140238,0.59030016736268,0.6429299408011843,0.12218034227343569,-0.09558252838716041
D6_ms_only,62043,19,19,0.6463633509520549,0.6469310217086676,0.6428265157355171,0.09334027837526807,0.0035368352165378036
D4_a9_ms_only,62043,19,19,0.6463633463651204,0.6469310217086677,0.6428265140886069,0.0933402781359386,0.0035368322765134685
B5_UISEM_RF_Optuna,62043,19,19,0.681137651063811,0.6488317134380532,0.6428026664704438,0.07375665647717745,0.03833498459336715
C_F8_fusion_composite_blockstats,62043,19,19,0.6212213199619908,0.5927854258169782,0.6418260680373952,0.07671881496536126,-0.020604748075404355
E6_B_nativeNaN_all_multimodal,387066,15,15,0.715776332010106,0.715776332010106,0.6410282457301332,0.15062727140077634,0.07474808627997287
E5_LightGBM_native_NaN,387066,15,15,0.715776332010106,0.715776332010106,0.6410282457301332,0.15062727140077634,0.07474808627997287
NB08b_BDA_CARD_AdaBoost,368288,21,21,0.5959095328873428,0.6526103854359804,0.6404796558076217,0.10459436300202356,-0.04457012292027884
C_F6_fusion_indices_card_cohdrop,51293,11,11,0.6470034982604282,0.6400164049830528,0.6399309338518194,0.10141664974231221,0.007072564408608817
C10_leaky_F6_fusion_indices_card_cohdrop,51293,11,11,0.6470034982604282,0.6400164049830528,0.6399309338518194,0.10141664974231221,0.007072564408608817
D2_ms-only,62043,19,19,0.6459132625801728,0.6438805483041555,0.6392314131246125,0.08890147506875352,0.006681849455560274
B5_sub_XGB_full_F8,62043,19,19,0.6112239159376345,0.6022031133621291,0.639182204173939,0.0875204305365259,-0.02795828823630453
P_F7_fusion_composite_cohdrop_RF_Optuna,51293,11,11,0.675171996837403,0.6311765065669633,0.6388277900550068,0.08443615572040765,0.03634420678239625
